ggml_cuda_init: found 1 CUDA devices (Total VRAM: 45596 MiB):
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes, VRAM: 45596 MiB

Computing statistics for /home/user1/workspace/bobchenyx/26-ICCAD/qwen35-imatrix-q8_0-callback-864.gguf (510 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
   13	ffn_down_shexp      	     21.02	  0.0061	    11.3462	  0.04	  0.50	  100.00%	   512	    5.0182	 55.76%	      0.20%	  0.0120
   17	ffn_down_shexp      	     20.22	  0.0057	    10.3539	  0.04	  0.46	  100.00%	   512	    5.2044	 57.83%	      0.20%	  0.0017
   20	ffn_down_shexp      	     18.42	  0.0038	    10.5764	  0.04	  0.47	  100.00%	   512	    4.6196	 51.33%	      0.20%	  0.0020
   10	ffn_down_shexp      	     14.56	  0.0032	     4.7844	  0.03	  0.24	  100.00%	   512	    5.7581	 63.98%	      0.39%	  0.0181
    8	ffn_down_shexp      	     14.06	  0.0035	     6.7506	  0.03	  0.30	  100.00%	   512	    5.4387	 60.43%	      0.39%	  0.0108
   21	ffn_down_shexp      	     13.75	  0.0038	     5.2604	  0.03	  0.23	  100.00%	   512	    6.1037	 67.82%	      0.59%	  0.0101
    4	ffn_down_shexp      	     10.75	  0.0045	     3.4016	  0.02	  0.15	  100.00%	   512	    6.8897	 76.55%	      0.20%	  0.0106
    9	ffn_down_shexp      	     10.55	  0.0040	     2.0489	  0.02	  0.10	  100.00%	   512	    7.3198	 81.33%	      0.98%	  0.0178
   23	ffn_down_shexp      	      9.67	  0.0024	     4.9017	  0.02	  0.22	  100.00%	   512	    5.2631	 58.48%	      0.20%	  0.0060
    3	ffn_down_shexp      	      9.40	  0.0021	     4.6421	  0.02	  0.21	  100.00%	   512	    5.2855	 58.73%	      0.20%	  0.0064
   12	ffn_down_shexp      	      9.18	  0.0016	     2.2361	  0.02	  0.10	  100.00%	   512	    7.4091	 82.32%	      0.39%	  0.0175
    7	ffn_down_shexp      	      8.36	  0.0028	     3.3941	  0.02	  0.15	  100.00%	   512	    6.1481	 68.31%	      0.39%	  0.0187
   11	ffn_down_shexp      	      8.15	  0.0026	     2.6901	  0.02	  0.12	  100.00%	   512	    6.8357	 75.95%	      0.20%	  0.0175
    2	ffn_down_shexp      	      7.41	  0.0020	     2.2943	  0.01	  0.11	  100.00%	   512	    5.6845	 63.16%	      0.78%	  0.0140
   24	ffn_down_shexp      	      6.31	  0.0031	     0.3123	  0.01	  0.02	  100.00%	   512	    8.3563	 92.85%	      2.93%	  0.0326
    1	ffn_down_shexp      	      5.88	  0.0015	     1.4532	  0.01	  0.06	  100.00%	   512	    7.2990	 81.10%	      0.78%	  0.1051
